tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,50.9888
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,63.682
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,51.5191
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,45.154
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,61.6933
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,53.9025
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,57.0407
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,45.128
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,29.2391
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,28.9282
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,27.8204
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,14.3369
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.6595
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,55.4449
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,41.7728
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,37.9721
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,37.3578
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,47.3024
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,45.441
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,36.8277
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,32.8078
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,39.713
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,54.0512
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,27.2253
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,43.8675
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,59.8255
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,43.7009
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,42.3814
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,59.4414
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,46.6054
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,40.9629
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,27.0677
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,21.4759
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,20.295
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,16.3001
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,22.8474
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,43.2876
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,49.6153
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,44.1886
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,51.1779
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,39.7396
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,56.1624
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,74.8729
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,71.3812
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,55.2341
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,65.3329
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,53.2752
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,27.0315
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,32.9276
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,47.4575
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,37.0161
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,41.3126
