tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.8225
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,37.8763
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,42.9707
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,47.556
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,60.8147
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,70.0548
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,51.0306
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.1682
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,36.5501
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,33.6734
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,35.9657
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,20.5402
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,38.9583
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,41.5205
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,48.9127
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,50.6806
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,54.6285
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,35.8885
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,27.9083
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,25.8356
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,28.5075
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,23.5848
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,27.7544
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,26.4196
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,39.351
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,42.7542
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,43.371
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,53.1202
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,53.8097
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,58.7139
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,30.169
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,19.9648
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,27.9921
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,24.4194
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,34.0613
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,27.1045
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,41.029
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.4319
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,49.6514
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,57.2116
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,60.3922
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,49.7026
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,64.732
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,58.4523
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,48.049
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,43.9039
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,36.9636
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,57.8134
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,26.566
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,35.0502
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,44.1787
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,46.4704
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,45.3882
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,49.3306
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,47.6364
